Hidden Layer 1,Hidden Layer 2,Learning Rate,Accuracy
32,16,0.0001,55.49
32,16,0.001,54.81
32,16,0.01,55.91
32,16,0.1,53.85
32,32,0.0001,54.67
32,32,0.001,55.49
32,32,0.01,55.49
32,32,0.1,56.18
32,64,0.0001,55.77
32,64,0.001,55.63
32,64,0.01,55.77
32,64,0.1,55.22
32,128,0.0001,56.04
32,128,0.001,55.49
32,128,0.01,54.12
32,128,0.1,55.77
64,16,0.0001,55.08
64,16,0.001,55.77
64,16,0.01,55.49
64,16,0.1,57.42
64,32,0.0001,55.77
64,32,0.001,55.91
64,32,0.01,55.63
64,32,0.1,55.77
64,64,0.0001,55.08
64,64,0.001,55.49
64,64,0.01,54.26
64,64,0.1,56.87
64,128,0.0001,55.36
64,128,0.001,55.36
64,128,0.01,55.36
64,128,0.1,54.67
128,16,0.0001,55.77
128,16,0.001,55.77
128,16,0.01,56.46
128,16,0.1,55.49
128,32,0.0001,56.04
128,32,0.001,55.22
128,32,0.01,55.77
128,32,0.1,55.49
128,64,0.0001,54.81
128,64,0.001,54.53
128,64,0.01,55.63
128,64,0.1,54.95
128,128,0.0001,55.22
128,128,0.001,55.77
128,128,0.01,55.63
128,128,0.1,55.08
256,16,0.0001,54.95
256,16,0.001,54.40
256,16,0.01,54.67
256,16,0.1,55.77
256,32,0.0001,55.77
256,32,0.001,54.12
256,32,0.01,55.49
256,32,0.1,55.63
256,64,0.0001,54.53
256,64,0.001,55.49
256,64,0.01,55.63
256,64,0.1,55.63
256,128,0.0001,54.81
256,128,0.001,54.26
256,128,0.01,55.63
256,128,0.1,55.36
